url,role,topic,region_scope,region_value,has_map,geo_evidence,geo_source_hint,merchant_scope,notes,last_checked_yyyy_mm_dd,status,priority
https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/todos-beneficios.html,category,general,nacional,,no,none,,cadena,Página principal Beneficios con Tarjetas BancoEstado,2025-10-12,active,high,
https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/campanas-bancoestado---bancoestado-personas/2025/bieneeeneficios-que-te-vienen-bien---bancoestado-personas.html,campaign,general,nacional,,no,none,,cadena,Campaña Bieneeeneficios que te vienen bien,2025-10-12,active,high,
https://www.bancoestado.cl/D21735ABE98A4950951EF2E5A7B9188F/D21735ABE98A4950951EF2E5A7B9188F.asp,subcategory,general,nacional,,no,none,,cadena,Sección Descuentos / Oportunidades BancoEstado,2025-10-12,active,medium,
,,,,,,,,,,2025-10-13,,,
https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/todos-beneficios/juan-maestro---beneficios-bancoestado.html,detail,gastronomia,nacional,,no,none,,cadena,Beneficio Juan Maestro (martes),2025-10-12,active,medium,
https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/campanas-bancoestado---bancoestado-personas/2025/bieneeeneficios-que-te-vienen-bien---bancoestado-personas/farmacias-del-dr--simi---bancoestado--bieeeneficios-que-te-viene.html,detail,salud,nacional,,no,none,,cadena,Descuento Farmacias Dr. Simi (lunes),2025-10-12,active,medium,
https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/productos-/ahora-compra-tus-pasajes-de-bus--tren-y-transfer-desde-la-app-ba.html,detail,transporte,nacional,,no,none,,cadena,Beneficio en pasajes bus/tren/transfer vía app BancoEstado,2025-10-12,active,medium,
https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/campanas-bancoestado---bancoestado-personas/2025/bieneeeneficios-que-te-vienen-bien---bancoestado-personas/la-barra---bancoestado--bieeeneficios-que-te-vienen-bien.html,detail,gastronomia,regional,RM,no,text,texto “La Barra”,sucursal,Descuento jueves-viernes en La Barra,2025-10-12,active,medium,
https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/campanas-bancoestado---bancoestado-personas/2025/bieneeeneficios-que-te-vienen-bien---bancoestado-personas/burger-king---bancoestado--bieneeeneficios-que-te-vienen-bien.html,detail,gastronomia,nacional,,no,none,,cadena,Beneficio Burger King,2025-10-12,active,medium,
https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/todos-beneficios/pc-factory---todosuma-bancoestado.html,detail,retail,nacional,,no,none,,cadena,Descuento PC Factory,2025-10-12,active,medium,
https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/todos-beneficios/maicao---beneficios-bancoestado.html,detail,salud,nacional,,no,none,,cadena,Beneficio Maicao,2025-10-12,active,medium,
https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/todos-beneficios/bata---beneficios-bancoestado.html,detail,retail,nacional,,no,none,,cadena,Descuento Bata,2025-10-12,active,medium,
https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/todos-beneficios/lipigas---beneficios-bancoestado.html,detail,servicios,nacional,,no,none,,cadena,Convenio Lipigas cilindros,2025-10-12,active,high,
https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/todos-beneficios/club-softys.html,detail,retail,nacional,,no,none,,cadena,Club Softys 40% miércoles,2025-10-12,active,medium,
https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/todos-beneficios/doggis---beneficios-bancoestado.html,detail,gastronomia,nacional,,no,none,,cadena,Descuento Doggis martes 30%,2025-10-12,active,medium,
