url,role,topic,region_scope,region_value,has_map,geo_evidence,geo_source_hint,merchant_scope,notes,last_checked_yyyy_mm_dd,status,priority
https://banco.santander.cl/beneficios,category,general,nacional,,no,none,,cadena,Portal principal Beneficios y Descuentos Santander,2025-10-12,active,high,
https://banco.santander.cl/beneficios?segmento=s-personas,subcategory,general,nacional,,no,none,,cadena,Versión segmentada para personas,2025-10-12,active,medium,
https://banco.santander.cl/beneficios/promociones/,category,campañas,nacional,,no,none,,cadena,Página principal de promociones,2025-10-12,active,high,
https://banco.santander.cl/beneficios/promociones?page=3,subcategory,campañas,nacional,,no,none,,cadena,Página 3 de promociones activas,2025-10-12,active,medium,
https://banco.santander.cl/beneficios/promociones?page=4,subcategory,campañas,nacional,,no,none,,cadena,Página 4 de promociones activas,2025-10-12,active,medium,
https://banco.santander.cl/beneficios/promociones?page=11&segmento=s-personas,subcategory,campañas,nacional,,no,none,,cadena,Página 11 de promociones con segmento Personas,2025-10-12,active,low,
https://banco.santander.cl/beneficios/promociones?categoria=&page=1&segmento=s-personas%2F1000,subcategory,campañas,nacional,,no,none,,cadena,Promociones para segmento Personas 1000,2025-10-12,active,low,
https://banco.santander.cl/beneficios/descuentos-restaurantes,category,gastronomia,nacional,,no,text,texto en página,cadena,Sección descuentos en restaurantes,2025-10-12,active,high,
https://banco.santander.cl/beneficios?slug=ultimate-fitness,detail,bienestar,nacional,,no,none,,cadena,Beneficio Ultimate Fitness,2025-10-12,active,medium,
https://banco.santander.cl/beneficios?slug=el-colorado,detail,entretenimiento,regional,RM,no,none,,sucursal,Beneficio Centro de Ski El Colorado,2025-10-12,active,medium,
https://banco.santander.cl/beneficios?slug=lineatre,detail,retail,nacional,,no,none,,cadena,Campaña Lineatre,2025-10-12,active,low,
,,,,,,,,,,2025-10-13,,,
https://banco.santander.cl/personas/tarjetas,category,financiero,nacional,,no,none,,cadena,Sección de tarjetas Santander,2025-10-12,active,high,
https://banco.santander.cl/personas/tarjetas/promociones,subcategory,financiero,nacional,,no,none,,cadena,Promociones con tarjetas,2025-10-12,active,medium,
https://banco.santander.cl/personas/tarjetas/promociones/todo-en-cuotas-sin-interes,campaign,financiero,nacional,,no,none,,cadena,Campaña 3 cuotas sin interés,2025-10-12,active,high,
https://banco.santander.cl/personas/tarjetas/promociones/educacion-en-10-cuotas,detail,educacion,nacional,,no,none,,cadena,Promoción 10 cuotas sin interés educación,2025-10-12,active,medium,
https://banco.santander.cl/personas/tarjetas/puntos-y-promociones/detalles/santander-life,detail,financiero,nacional,,no,none,,cadena,Detalles Programa Santander Life,2025-10-12,active,medium,
https://banco.santander.cl/personas/planes/cuenta-corriente-life,subcategory,financiero,nacional,,no,none,,cadena,Cuenta Corriente Life,2025-10-12,active,medium,
https://banco.santander.cl/personas/planes/detalles/plan-santander-life,detail,financiero,nacional,,no,none,,cadena,Plan Santander Life y beneficios,2025-10-12,active,medium,
https://banco.santander.cl/personas/planes/joven/cuenta-corriente-joven,detail,financiero,nacional,,no,none,,cadena,Cuenta Corriente Joven con beneficios,2025-10-12,active,low,
https://banco.santander.cl/planes/cuenta-mas-lucas,detail,financiero,nacional,,no,none,,cadena,Cuenta Vista Más Lucas,2025-10-12,active,low,
https://banco.santander.cl/planes/plan-alianza,detail,financiero,nacional,,no,none,,cadena,Plan Alianza Santander,2025-10-12,active,low,
https://banco.santander.cl/personas/latampass,detail,viajes,nacional,,no,none,,cadena,Sección LATAM Pass,2025-10-12,active,high,
https://banco.santander.cl/beneficios/archivos/beneficios-disfrutadores,document,general,nacional,,no,none,,cadena,Archivo Beneficios Disfrutadores (PDF),2025-10-12,active,medium,
https://banco.santander.cl/landing/beneficios-descuentos,landing,general,nacional,,no,none,,cadena,Landing oficial beneficios y descuentos,2025-10-12,active,high,
https://banco.santander.cl/contrata/tarjeta-de-credito-online,detail,financiero,nacional,,no,none,,cadena,Contratación tarjeta crédito online con beneficios,2025-10-12,active,medium,
https://banco.santander.cl/beneficios?from=app&segmento=s-personas,subcategory,general,nacional,,no,none,,cadena,Versión vista desde app,2025-10-12,active,low,
https://www.santanderconsumer.cl/beneficios,category,automotriz,nacional,,no,none,,cadena,Portal de beneficios Santander Consumer,2025-10-12,active,medium,
https://www.appcopec.cl/beneficios-appcopec/santander-consumer/,detail,combustible,nacional,,no,none,,cadena,Promoción Copec + Santander Consumer,2025-10-12,active,medium,
