url,role,topic,region_scope,region_value,has_map,geo_evidence,geo_source_hint,merchant_scope,notes,last_checked_yyyy_mm_dd,status,priority
https://www.caja18.cl/beneficios/,category,general,nacional,,no,none,,cadena,Portal principal de beneficios Caja 18 de Septiembre,2025-10-13,active,high
https://beneficios.caja18.cl/trabajadores/,subcategory,general,nacional,,no,none,,cadena,Portal de beneficios para trabajadores (salud, farmacias, recreación),2025-10-13,active,high
https://beneficios.caja18.cl/trabajadores/salud/farmacias/,detail,salud,nacional,,no,none,,cadena,Descuentos en Farmacias Ahumada, Knop, Constitución y Cruz Verde,2025-10-13,active,high
https://beneficios.caja18.cl/trabajadores/farmacias-knop/,detail,salud,nacional,,no,none,,cadena,Página específica Farmacias Knop (hasta 50 % descuento),2025-10-13,active,medium
https://beneficios.caja18.cl/trabajadores/salud/centros-medicos-con-reembolso/,detail,salud,nacional,,no,none,,cadena,Listado de centros médicos con reembolso Caja 18,2025-10-13,active,medium
https://beneficios.caja18.cl/trabajadores/salud/laboratorio/,detail,salud,nacional,,no,none,,cadena,Convenios con laboratorios afiliados Caja 18,2025-10-13,active,medium
https://www.caja18.cl/trabajadores/salud/,subcategory,salud,nacional,,no,none,,cadena,Sección general de salud (reembolsos, convenios y descuentos),2025-10-13,active,high
https://www.caja18.cl/trabajadores/educacion/,subcategory,educacion,nacional,,no,none,,cadena,Beneficios y bonificaciones educativas,2025-10-13,active,medium
https://www.caja18.cl/beneficios-en-educacion/,subcategory,educacion,nacional,,no,none,,cadena,Convenios educativos con universidades e institutos,2025-10-13,active,medium
https://www.caja18.cl/trabajadores/apoyo-familiar/cargas-familiares/,subcategory,familiar,nacional,,no,none,,cadena,Apoyo familiar y cargas reconocidas Caja 18,2025-10-13,active,medium
https://www.caja18.cl/pensionados/beneficios/,subcategory,general,nacional,,no,none,,cadena,Portal de beneficios para pensionados afiliados,2025-10-13,active,high
https://www.caja18.cl/pensionados/bonos-sociales/,detail,social,nacional,,no,none,,cadena,Bonos sociales Caja 18 (matrimonio, defunción, escolaridad),2025-10-13,active,high
https://www.caja18.cl/pensionados/que-son-los-puntos-dorados/,detail,programa,nacional,,no,none,,cadena,Explicación del programa “Puntos Dorados”,2025-10-13,active,medium
https://www.caja18.cl/pensionados/como-canjear-puntos-dorados/,detail,programa,nacional,,no,none,,cadena,Guía para canjear puntos dorados por beneficios,2025-10-13,active,medium
https://www.caja18.cl/pensionados/tarjeta-bip-adulto-mayor/,detail,transporte,regional,RM,no,text,"texto 'BIP adulto mayor'",sucursal,Beneficio de transporte adulto mayor,2025-10-13,active,medium
https://www.caja18.cl/beneficios-que-enamoran/,campaign,campañas,nacional,,no,none,,cadena,Campaña “Beneficios que Enamoran” descuentos online,2025-10-13,active,high
https://www.caja18.cl/beneficios-en-calefaccion/,campaign,energia,nacional,,no,none,,cadena,Campaña calefacción (Gasco / Lipigas / calefacción hogar),2025-10-13,active,high
https://www.integramedica.cl/planes-y-convenios/convenios/caja-18,detail,salud,nacional,,no,none,,cadena,Convenio Caja 18 – IntegraMédica (copagos y prestaciones médicas),2025-10-13,active,medium
