url,role,topic,region_scope,region_value,has_map,geo_evidence,geo_source_hint,merchant_scope,notes,last_checked_yyyy_mm_dd,status,priority
https://www.tarjetalapolar.cl/s/tarjeta-la-polar-visa,category,financiero,nacional,,no,none,,cadena,Portal oficial de Tarjeta La Polar Visa (beneficios y requisitos),2025-10-15,active,high
https://www.tarjetalapolar.cl/s/preguntas-frecuentes,document,financiero,nacional,,no,text,FAQ,cadena,Preguntas frecuentes y condiciones generales de la tarjeta,2025-10-15,active,medium
https://www.lapolar.cl/on/demandware.static/-/Library-Sites-lapolar-shared-library/default/dw1d01f204/pdf/laPolarTerminos%26Condiciones.pdf,document,retail,nacional,,no,pdf,PDF términos y condiciones,cadena,Términos y condiciones comerciales La Polar,2025-10-15,active,medium
https://www.lapolar.cl/on/demandware.static/-/Library-Sites-lapolar-shared-library/default/dw593fcc3b/pdf/2024/febrero/Q%26A%20LP.pdf,document,financiero,nacional,,no,pdf,PDF Q&A tarjeta,cadena,Documento Q&A con info de tarjeta y beneficios,2025-10-15,active,medium
https://www.lapolar.cl/on/demandware.static/-/Library-Sites-lapolar-shared-library/default/dw1e9d621b/bases%20legales/Legal%20Cupon%20de%20descuento%20Jetsmart%20v2.pdf,document,viajes,nacional,,no,pdf,PDF bases JetSmart,cadena,Bases legales de cupón JetSmart asociado a compras La Polar,2025-10-15,active,high
https://www.petrobrasdistribucion.cl/promociones/descuento-con-medios-de-pago/descuento-lapolar-visa/,detail,combustible,nacional,,no,text,texto “descuento La Polar Visa”,partner,Descuento por litro en Petrobras pagando con La Polar Visa,2025-10-15,active,high
https://promos.rappi.com/cl/non-pro/promos-lapolar,detail,delivery,nacional,,no,none,,partner,Miércoles 30 % de descuento en Rappi para tarjetahabientes La Polar (vigencia sujeta a campaña),2025-10-15,active,medium
https://www.paris.cl/bases-legales/,reference,retail,nacional,,no,pdf,bases legales otras tiendas,partner,Referencia de bases legales cruzadas del ecosistema retail (si aplica campañas compartidas),2025-10-15,active,low
https://www.comparaonline.cl/tarjeta-de-credito/product/la-polar/la-polar-visa,reference,financiero,nacional,,no,text,ficha comparador,partner,Ficha informativa de la tarjeta en comparador externo,2025-10-15,active,low
https://www.rankia.cl/tarjetas/tarjeta-polar-visa-polar,reference,financiero,nacional,,no,text,review externo,partner,Reseña/guía externa sobre la tarjeta La Polar Visa,2025-10-15,active,low
https://www.tarjetaabc.cl/s/,reference,financiero,nacional,,no,none,,partner,Hub informativo relacionado (Tarjeta ABC) con vínculos a La Polar,2025-10-15,active,low
