url,role,topic,region_scope,region_value,has_map,geo_evidence,geo_source_hint,merchant_scope,notes,last_checked_yyyy_mm_dd,status,priority
https://liderbci.cl/,category,financiero,nacional,,no,none,,cadena,Sitio oficial de Líder BCI con acceso a descuentos, promociones y beneficios,2025-10-15,active,high
https://liderbci.cl/descuentos,category,retail,nacional,,no,none,,cadena,Portal general de descuentos Líder BCI (comercios asociados y supermercados),2025-10-15,active,high
https://tarjetaliderbci.cl/contenidos/centro-de-ayuda/articulos/que-beneficios-tengo-con-la-tarjeta-lider-bci,subcategory,financiero,nacional,,no,text,texto “beneficios tarjeta Líder BCI”,cadena,Descripción de beneficios principales (6 % lunes, 20 % acumulación Mi Club),2025-10-15,active,high
https://tarjetaliderbci.cl/contenidos/oportunidades-en-lider,subcategory,retail,nacional,,no,none,,cadena,Sección “Oportunidades en Líder” con beneficios por día y promociones vigentes,2025-10-15,active,high
https://tarjetaliderbci.cl/contenidos/ahorros,subcategory,retail,nacional,,no,none,,cadena,Sección de ahorros (6 % de descuento lunes, acumulación diaria),2025-10-15,active,high
https://tarjetaliderbci.cl/contenidos/descuentos/detalle/342/todos-los-lunes-6-dcto-en-lider,detail,retail,nacional,,no,text,texto “6 % lunes en Líder”,cadena,Detalle del descuento 6 % todos los lunes con Tarjeta Líder BCI,2025-10-15,active,high
https://tarjetaliderbci.cl/contenidos/descuentos/detalle/790/40-dcto-todos-los-das-en-starbucks-de-manera-presencial,detail,restaurantes,nacional,,no,text,texto “Starbucks 40 %”,partner,Descuento 40 % todos los días en Starbucks pagando con Tarjeta Líder BCI,2025-10-15,active,medium
https://bci.cl/beneficios/beneficios-bci/detalle/hasta-40-por-ciento-de-dctos-con-tus-tarjetas-de-credito-bci-y-tarjeta-lider-bci-ciihw6k,detail,financiero,nacional,,no,text,texto “beneficios BCI Líder”,partner,Descuentos hasta 40 % con tarjetas BCI y Líder BCI + cuotas sin interés,2025-10-15,active,medium
https://tarjetaliderbci.cl/contenidos/tarjetas,subcategory,financiero,nacional,,no,none,,cadena,Sección de tipos de tarjetas Líder BCI y beneficios asociados,2025-10-15,active,medium
https://tarjetaliderbci.cl/contenidos/tarjetas/detalle/280/tarjeta-lider-bci-preferente,detail,financiero,nacional,,no,none,,cadena,Versión Preferente de Tarjeta Líder BCI con beneficios exclusivos,2025-10-15,active,medium
https://tarjetaliderbci.cl/contenidos/facilidadesdepago,subcategory,financiero,nacional,,no,none,,cadena,Sección de facilidades de pago (pago liviano, cuota flexible, pago mínimo),2025-10-15,active,medium
https://tarjetaliderbci.cl/contenidos/servicio-al-cliente,tool,financiero,nacional,,no,none,,cadena,Centro de ayuda y contacto para Tarjeta Líder BCI,2025-10-15,active,medium
https://tarjetaliderbci.cl/public/files/pdf/catalogo_wcp.pdf,document,retail,nacional,,no,pdf,catálogo PDF,cadena,Catálogo oficial de beneficios Líder BCI (descuentos por día y comercios),2025-10-15,active,high
https://chocale.cl/2025/07/tarjeta-lider-bci-nuevo-beneficio-cashback-todos-los-dias-en-supermercado/,reference,financiero,nacional,,no,text,texto “cashback Líder BCI”,partner,Artículo Chócale sobre nuevo cashback 6 % diario en supermercados con Líder BCI,2025-10-15,active,medium
https://walmartchile.cl/en-walmart-chile-renovamos-la-tarjeta-lider-bci-para-que-acumules-6-en-pesos-mi-club-todos-los-dias/,reference,retail,nacional,,no,text,texto “Walmart Chile renovación”,partner,Nota oficial Walmart Chile: renovación de Tarjeta Líder BCI y 6 % en Pesos Mi Club todos los días,2025-10-15,active,medium
