url,role,topic,region_scope,region_value,has_map,geo_evidence,geo_source_hint,merchant_scope,notes,last_checked_yyyy_mm_dd,status,priority
https://www.tarjetacencosud.cl/publico/beneficios/landing/inicio,category,financiero,nacional,,no,none,,partner,Portal general de beneficios de Tarjeta Cencosud (incluye Paris, Jumbo y Easy),2025-10-14,active,high
https://www.paris.cl/,category,retail,nacional,,no,none,,cadena,Sitio oficial de Paris.cl (referencia principal de beneficios y medios de pago),2025-10-14,active,high
https://www.cencosud.com/beneficioscencosud-chile,reference,retail,nacional,,no,text,texto “beneficios cruzados”,partner,Beneficios Cencosud Chile con descuentos diarios en Paris y otras marcas del grupo,2025-10-14,active,medium
https://ayuda.paris.cl/ayuda/comprar-en-paris/medios-pago,subcategory,financiero,nacional,,no,text,texto “medios de pago”,cadena,Guía de medios de pago en Paris (incluye Tarjeta Cencosud con beneficios),2025-10-14,active,medium
https://www.paris.cl/avance-y-super-avance/,detail,financiero,nacional,,no,none,,cadena,Sección de avances y super avances con Tarjeta Cencosud Paris,2025-10-14,active,medium
https://cencopay.cl/,category,fintech,nacional,,no,none,,partner,Sitio oficial de billetera digital CencoPay (usa en Paris y otras tiendas Cencosud),2025-10-14,active,high
https://cencopay.cl/ofertas/paris/,detail,retail,nacional,,no,none,,partner,Ofertas exclusivas para Paris pagando con CencoPay,2025-10-14,active,high
https://descuentosrata.com/cupones/1455/20-de-descuento-en-vestuario-y-calzado-paris,reference,retail,nacional,,no,text,texto “20 % descuento Paris”,partner,Cupón externo: 20 % dcto en vestuario y calzado Paris (Tarjeta Cencosud Platinum/Black),2025-10-14,active,medium
https://www.facebook.com/TarjetaCencosudScotiabank/videos/50-dcto-en-tu-primera-compra-en-paris-pide-tu-tarjeta-cencosud-scotiabank-hoy-te/7628724007181219/,campaign,retail,nacional,,no,text,video Facebook,partner,Campaña 50 % de descuento en primera compra en Paris con Tarjeta Cencosud,2025-10-14,active,medium
https://www.paris.cl/cupones-de-descuento/,category,retail,nacional,,no,none,,cadena,Sección de cupones de descuento en Paris.cl,2025-10-14,active,high
https://www.paris.cl/listas/oferta/,subcategory,retail,nacional,,no,none,,cadena,Catálogo de ofertas y promociones Paris.cl,2025-10-14,active,high
https://www.paris.cl/listas/puntos/,subcategory,financiero,nacional,,no,none,,cadena,Sección Puntos Paris (programa de fidelización y acumulación),2025-10-14,active,medium
https://www.paris.cl/bases-legales/,document,retail,nacional,,no,pdf,bases legales,cadena,Bases legales y condiciones de promociones vigentes Paris,2025-10-14,active,medium
https://www.paris.cl/promociones,category,retail,nacional,,no,none,,cadena,Portal general de promociones y descuentos activos en Paris.cl,2025-10-14,active,high
https://www.paris.cl/medios-pago,subcategory,financiero,nacional,,no,none,,cadena,Sección medios de pago Paris (Tarjeta Cencosud entre las principales opciones),2025-10-14,active,medium
